Node Number	Maximum Principal Stress (MPa)
1	6.2576
2	6.237
3	18.945
4	18.737
5	18.475
6	18.186
7	17.879
8	17.558
9	17.226
10	16.885
11	16.537
12	16.182
13	15.824
14	15.461
15	15.096
16	14.729
17	14.362
18	13.997
19	13.632
20	13.271
21	12.913
22	12.559
23	12.211
24	11.869
25	11.534
26	11.206
27	10.886
28	10.574
29	10.271
30	9.9773
31	9.6922
32	9.4163
33	9.149
34	8.8904
35	8.6397
36	8.3962
37	8.1587
38	7.9267
39	7.6986
40	7.4728
41	7.2481
42	7.0228
43	6.7953
44	6.5639
45	6.3271
46	6.0831
47	5.83
48	5.5669
49	5.2925
50	5.0063
51	4.7093
52	4.4037
53	4.0935
54	4.214
55	4.591
56	4.972
57	5.4104
58	22.102
59	19.19
60	19.487
61	19.805
62	20.131
63	20.452
64	20.763
65	21.058
66	21.334
67	21.59
68	21.826
69	22.038
70	22.225
71	22.392
72	22.531
73	22.647
74	22.734
75	22.796
76	22.828
77	22.83
78	22.803
79	22.745
80	22.663
81	22.564
82	22.456
83	22.345
84	22.229
85	5.3587
86	22.
87	21.892
88	21.776
89	21.654
90	21.524
91	21.387
92	21.243
93	21.092
94	20.933
95	20.767
96	20.594
97	20.413
98	20.226
99	20.03
100	19.827
101	19.617
102	19.399
103	19.174
104	18.941
105	18.701
106	18.454
107	18.199
108	17.937
109	17.667
110	17.39
111	17.106
112	16.815
113	16.516
114	16.211
115	15.898
116	15.579
117	15.252
118	14.919
119	14.578
120	14.232
121	13.878
122	13.518
123	13.152
124	12.78
125	12.4
126	12.015
127	11.624
128	11.227
129	10.824
130	10.415
131	9.9995
132	9.5782
133	9.1519
134	8.7202
135	8.282
136	7.8386
137	7.3915
138	6.9397
139	6.4852
140	6.03
141	5.5761
142	5.1257
143	4.6832
144	4.2532
145	3.8408
146	3.4534
147	3.0984
148	2.784
149	2.5184
150	2.3113
151	2.17
152	2.1038
153	2.1192
154	2.224
155	2.4248
156	2.7295
157	3.1539
158	3.7236
159	4.5113
160	20.629
161	20.475
162	20.317
163	20.154
164	19.986
165	19.813
166	19.635
167	19.452
168	19.263
169	19.069
170	18.87
171	18.665
172	18.455
173	18.239
174	18.018
175	17.792
176	17.559
177	17.321
178	17.078
179	16.828
180	16.574
181	16.313
182	16.047
183	15.775
184	15.497
185	15.214
186	14.925
187	14.631
188	14.331
189	14.025
190	13.715
191	13.398
192	13.077
193	12.75
194	12.419
195	12.082
196	11.74
197	11.394
198	11.043
199	10.687
200	10.327
201	9.9621
202	9.5932
203	9.2201
204	8.843
205	8.4619
206	8.0769
207	7.6884
208	7.2966
209	6.9015
210	6.5033
211	6.1028
212	5.7001
213	5.2975
214	4.8943
215	4.4925
216	4.0957
217	3.7079
218	3.3308
219	2.9684
220	2.6278
221	2.3151
222	2.0379
223	1.8036
224	1.6218
225	1.4991
226	1.4441
227	1.4644
228	1.5625
229	1.7613
230	2.0358
231	2.4271
232	2.928
233	3.5681
234	4.4168
235	22.525
236	22.525
237	22.524
238	22.521
239	22.519
240	22.517
241	22.515
242	22.514
243	22.513
244	22.513
245	22.514
246	22.515
247	22.516
248	22.517
249	22.519
250	22.52
251	22.521
252	22.523
253	22.523
254	22.524
255	22.525
256	22.525
257	22.525
258	22.525
259	22.525
260	22.524
261	22.523
262	22.522
263	22.52
264	22.519
265	22.518
266	22.516
267	22.514
268	22.512
269	22.51
270	22.507
271	22.505
272	22.503
273	22.501
274	22.498
275	22.496
276	22.493
277	22.491
278	22.488
279	22.486
280	22.484
281	22.481
282	22.479
283	22.477
284	22.475
285	22.472
286	22.471
287	22.469
288	22.467
289	22.465
290	22.464
291	22.463
292	22.462
293	22.461
294	22.46
295	22.46
296	22.46
297	22.46
298	22.46
299	22.461
300	22.462
301	22.464
